,idLV,SG_UF,CD_LOCALIDADE_TSE,NM_LOCALIDADE,NR_ZONA,NR_LOCVOT,NM_LOCVOT,DS_ENDERECO,DS_BAIRRO,NR_CEP,n_locs,street_name,street_number,locality,postal_code,sub_locality,provider,latitude,longitude,dispersion,clusters_count,providers_count,levenshtein_match_street_name
1,580411521015,RJ,58041,"BELFORD ROXO",152,1015,"CEM - CENTRO DE EDUCACAO MODERNA","RUA VIRGILINA BICCHIERI 61","VILA HERMINIA MAIA",26113510,20,"Rua Virgínia Bicchiere",61,"Belford Roxo",26113510,"Das Graças",here_geocoder,-22.7556865,-43.3984306,4.2209868493859E-5,1,2,0.42222222222222
2,580411521023,RJ,58041,"BELFORD ROXO",152,1023,"CIEP 037 - ERNESTO GUEVARA","RUA FERNANDO CRUZ S/N","JARDIM BOM PASTOR",26110130,13,"Rua Fernando Cruz",,"Belford Roxo",26110130,Redentor,here_geocoder,-22.76007,-43.36525,1.2206184740668E-6,1,2,0.43589743589744
3,580411521031,RJ,58041,"BELFORD ROXO",152,1031,"COLÉGIO  ESTADUAL JARDIM GLAUCIA","RUA JULIO CESAR S/N","JARDIM GLAUCIA",26195180,12,"Rua Júlio César",,"Belford Roxo",26195160,Glaucia,here_geocoder,-22.75851,-43.35499,2.1044464459584E-6,1,2,0.35294117647059
4,580411521040,RJ,58041,"BELFORD ROXO",152,1040,"ESCOLA ESTADUAL SANTA AMELIA","RUA NATUBA S/N","SANTA AMELIA",26116460,11,"Rua Natuba",,"Belford Roxo",26116460,"Santa Amélia",here_geocoder,-22.74144,-43.38959,4.1626407854385E-7,1,2,0.37037037037037
5,580411521058,RJ,58041,"BELFORD ROXO",152,1058,"ESCOLA MUNICIPAL BELFORD ROXO","RUA ALTAIR 281","BAIRRO DAS GRACAS",26113420,8,"Rua Altair",281,"Belford Roxo",26113420,"Das Graças",here_geocoder,-22.7598058,-43.3972859,0.004162051756775,2,2,0.3125
6,580411521066,RJ,58041,"BELFORD ROXO",152,1066,"ESCOLA MUNICIPAL JARDIM GLAUCIA","RUA PERICLES 15","JARDIM GLAUCIA",26195140,12,"Rua Péricles",15,"Belford Roxo",26195140,Glaucia,here_geocoder,-22.7574493,-43.3521741,5.4221136448499E-5,2,2,0.33333333333333
7,580411521082,RJ,58041,"BELFORD ROXO",152,1082,"CIEP 177 - CONSTANTINO REIS","AVENIDA JOAQUIM DA COSTA LIMA, SN","BARRO VERMELHO",26165385,15,"Avenida Joaquim da Costa Lima",,"Belford Roxo",26165345,"Santa Maria",here_geocoder,-22.73311,-43.38109,0,3,1,0.61702127659574
8,580411521090,RJ,58041,"BELFORD ROXO",152,1090,"ESCOLA MUNICIPAL ALEJANDRO FERNANDO NUNEZ","RUA CRISÂNTEMOS 170","NOVA PIAM",26115080,6,"Rua Crisântemos",,"Belford Roxo",26115003,Piam,here_geocoder,-22.74381,-43.39307,0,1,1,0.53333333333333
9,580411521104,RJ,58041,"BELFORD ROXO",152,1104,"ESCOLA ESTADUAL RICARDA LEON","RUA SUELI S/N","PARQUE SAO JOSE",26193030,14,"Rua Sueli",,"Belford Roxo",26140310,"Santa Tereza",here_geocoder,-22.74024,-43.34518,0.031700575400669,2,2,0.31034482758621
10,580411521112,RJ,58041,"BELFORD ROXO",152,1112,"CIEP 217 - EDIVAL GUEIROS VIDAL","ESTRADA RIO DE JANEIRO S/N","SANTA TEREZA",26193340,12,"Estrada Rio Janeiro & Estrada Santa Teresa",,"Belford Roxo",26193340,,arcgis_online,-22.747482,-43.3392435,0,1,1,0.69230769230769
11,580411521120,RJ,58041,"BELFORD ROXO",152,1120,"ESCOLA MUNICIPAL JULIETA REGO NASCIMENTO","RUA 6 DE DEZEMBRO 41","JARDIM REDENTOR",26110140,8,"Rua Seis Dezembro",41,"Belford Roxo",26110140,Redentor,here_geocoder,-22.7565452,-43.3642279,5.3274658658392E-5,1,2,0.36111111111111
12,580411521139,RJ,58041,"BELFORD ROXO",152,1139,"PAROQUIA JESUS BOM PASTOR","EST. BELFORD ROXO 1475","JARDIM BOM PASTOR",26110260,4,"Estrada Belford Roxo",1475,"Belford Roxo",26110260,"Bom Pastor",here_geocoder,-22.7534101,-43.3693516,0,5,1,0.325
13,580411521155,RJ,58041,"BELFORD ROXO",152,1155,"EDUCANDÁRIO FREI FABIANO","RUA ESPINHARES QD 1 LT 18","PARQUE SAO JOSE",26190090,10
14,580411521171,RJ,58041,"BELFORD ROXO",152,1171,"ESCOLA MUNICIPAL JOSÉ MARIANO DOS PASSOS","AVENIDA PARQUE VARZEA DO CARMO, SN","VILAR NOVO",26116085,5,"Estrada Parque da Várzea do Carmo",,"Belford Roxo",26116085,"Santa Amélia",here_geocoder,-22.75003,-43.39205,0,2,1,0.45454545454545
15,580411521180,RJ,58041,"BELFORD ROXO",152,1180,"CIEP 366 - SIMONE BEAUVOIR","AV. AUTOMOVEL CLUBE S/N","PARQUE SAO JOSE",26196030,14,"Avenida Automóvel Clube",,"Belford Roxo",26196030,Glaucia,here_geocoder,-22.75728,-43.36215,2.6822275878388E-5,2,2,0.30769230769231
16,580411521198,RJ,58041,"BELFORD ROXO",152,1198,"CENTRO EDUCACIONAL PARAÍSO DA EMILIA","RUA CHALAÇA 5","JARDIM REDENTOR",26195000,5,"Rua Chalaça",5,"Belford Roxo",26195000,"Santa Tereza",here_geocoder,-22.7526277,-43.3596523,5.0555224917876E-5,1,2,0.4
